user_id,character_id,user_character_id,num_tries,boost_used,attack_duration,score,character_type,hitpoints
1.0,74,1_74,304.0,0.0,34.0,3743.6997319,3,2677
2.0,74,2_74,657.0,1.0,17.0,3061.0596341,3,2677
5.0,74,5_74,276.0,1.0,23.0,3899.4082841,3,2677
6.0,74,6_74,295.0,1.0,47.0,3802.3019635,3,2677
8.0,74,8_74,780.0,0.0,19.0,3830.3215208,3,2677
12.0,74,12_74,620.0,0.0,38.0,4649.3333334,3,2677
17.0,74,17_74,256.0,0.0,11.0,3618.4593023,3,2677
22.0,74,22_74,614.0,0.0,40.0,3710.1664685,3,2677
24.0,74,24_74,261.0,1.0,31.0,3772.4137931,3,2677
27.0,74,27_74,190.0,1.0,11.0,3392.5863521,3,2677
29.0,74,29_74,186.0,0.0,35.0,4207.7348066,3,2677
30.0,74,30_74,1579.0,1.0,28.0,3962.5425652,3,2677
33.0,74,33_74,363.0,1.0,46.0,2788.29744,3,2677
37.0,74,37_74,183.0,0.0,30.0,2216.5433759,3,2677
38.0,74,38_74,314.0,1.0,48.0,4080.407701,3,2677
39.0,74,39_74,455.0,1.0,29.0,3373.2439336,3,2677
40.0,74,40_74,133.0,1.0,39.0,4607.9779918,3,2677
41.0,74,41_74,44.0,0.0,19.0,3858.1560284,3,2677
42.0,74,42_74,449.0,1.0,49.0,3796.3594995,3,2677
43.0,74,43_74,1314.0,0.0,40.0,4383.2825285,3,2677
47.0,74,47_74,301.0,1.0,14.0,4332.0388349,3,2677
49.0,74,49_74,99.0,0.0,38.0,3845.2579035,3,2677
50.0,74,50_74,222.0,1.0,34.0,3531.4009662,3,2677
53.0,74,53_74,139.0,1.0,10.0,2706.4393939,3,2677
54.0,74,54_74,585.0,1.0,38.0,3605.5189715,3,2677
58.0,74,58_74,379.0,0.0,31.0,3955.0797649,3,2677
59.0,74,59_74,363.0,0.0,35.0,3252.2783761,3,2677
63.0,74,63_74,808.0,1.0,43.0,3883.8546458,3,2677
65.0,74,65_74,1003.0,0.0,35.0,3317.72818,3,2677
67.0,74,67_74,664.0,0.0,47.0,3751.7985612,3,2677
69.0,74,69_74,289.0,0.0,38.0,3100.148002,3,2677
71.0,74,71_74,113.0,0.0,47.0,4554.8060708,3,2677
82.0,74,82_74,222.0,1.0,42.0,3003.2341526,3,2677
84.0,74,84_74,743.0,1.0,32.0,3236.7389061,3,2677
87.0,74,87_74,118.0,1.0,39.0,3274.0740741,3,2677
88.0,74,88_74,184.0,1.0,32.0,3115.6222418,3,2677
93.0,74,93_74,251.0,1.0,49.0,3922.3443223,3,2677
95.0,74,95_74,649.0,1.0,28.0,4339.6958913,3,2677
97.0,74,97_74,883.0,0.0,29.0,2973.7800437,3,2677
98.0,74,98_74,281.0,1.0,10.0,2839.7596395,3,2677
99.0,74,99_74,841.0,1.0,45.0,3325.390304,3,2677
104.0,74,104_74,538.0,1.0,22.0,3604.9968374,3,2677
106.0,74,106_74,294.0,0.0,44.0,4607.2902338,3,2677
108.0,74,108_74,163.0,1.0,28.0,4181.430096,3,2677
126.0,74,126_74,281.0,1.0,26.0,6740.1069519,3,2677
128.0,74,128_74,246.0,1.0,44.0,3448.1792717,3,2677
129.0,74,129_74,287.0,0.0,16.0,4074.3589743,3,2677
130.0,74,130_74,140.0,1.0,18.0,2260.4908947,3,2677
136.0,74,136_74,245.0,0.0,48.0,3573.2730794,3,2677
137.0,74,137_74,470.0,1.0,29.0,3002.7506112,3,2677
143.0,74,143_74,195.0,1.0,49.0,5373.7373738,3,2677
145.0,74,145_74,479.0,0.0,35.0,3370.9573092,3,2677
146.0,74,146_74,138.0,0.0,26.0,4082.8402367,3,2677
147.0,74,147_74,38.0,0.0,49.0,4037.3443983,3,2677
148.0,74,148_74,701.0,1.0,19.0,4559.0828924,3,2677
153.0,74,153_74,398.0,0.0,42.0,3419.5083267,3,2677
154.0,74,154_74,584.0,1.0,17.0,3719.1206248,3,2677
158.0,74,158_74,119.0,0.0,12.0,3537.2124493,3,2677
159.0,74,159_74,170.0,0.0,22.0,2738.0560132,3,2677
160.0,74,160_74,86.0,1.0,41.0,3128.0148423,3,2677
164.0,74,164_74,774.0,0.0,43.0,4355.5439875,3,2677
168.0,74,168_74,671.0,1.0,32.0,4902.9374202,3,2677
178.0,74,178_74,7280.0,1.0,45.0,7149.9719961,3,2677
181.0,74,181_74,176.0,0.0,13.0,3520.1207243,3,2677
183.0,74,183_74,613.0,0.0,26.0,4166.6164507,3,2677
187.0,74,187_74,106.0,0.0,29.0,4474.7081712,3,2677
196.0,74,196_74,147.0,1.0,13.0,2129.1793313,3,2677
199.0,74,199_74,891.0,0.0,46.0,4075.9521219,3,2677
200.0,74,200_74,301.0,0.0,32.0,3293.5726694,3,2677
202.0,74,202_74,136.0,1.0,29.0,2584.2558425,3,2677
204.0,74,204_74,508.0,0.0,22.0,4227.7265745,3,2677
205.0,74,205_74,582.0,1.0,26.0,3894.8356807,3,2677
208.0,74,208_74,482.0,0.0,42.0,2946.5408805,3,2677
209.0,74,209_74,245.0,1.0,17.0,4190.2766136,3,2677
212.0,74,212_74,649.0,1.0,41.0,3752.2050717,3,2677
213.0,74,213_74,56.0,1.0,33.0,4712.3287671,3,2677
214.0,74,214_74,553.0,1.0,41.0,3510.4166667,3,2677
216.0,74,216_74,1581.0,1.0,16.0,4224.8963611,3,2677
217.0,74,217_74,1523.0,0.0,30.0,4878.2267115,3,2677
218.0,74,218_74,577.0,1.0,39.0,3907.518994,3,2677
219.0,74,219_74,132.0,0.0,23.0,3511.4678899,3,2677
220.0,74,220_74,626.0,1.0,19.0,3351.0144928,3,2677
223.0,74,223_74,237.0,0.0,29.0,4666.9838249,3,2677
225.0,74,225_74,98.0,0.0,15.0,2309.3270366,3,2677
235.0,74,235_74,356.0,0.0,42.0,3465.0801862,3,2677
238.0,74,238_74,493.0,1.0,35.0,4868.7448729,3,2677
247.0,74,247_74,584.0,0.0,34.0,3995.9136018,3,2677
248.0,74,248_74,504.0,0.0,30.0,3542.5919788,3,2677
254.0,74,254_74,322.0,0.0,23.0,2684.8404256,3,2677
256.0,74,256_74,741.0,1.0,39.0,3454.8919949,3,2677
258.0,74,258_74,1062.0,1.0,39.0,4686.3627837,3,2677
259.0,74,259_74,67.0,1.0,49.0,3164.9484536,3,2677
262.0,74,262_74,235.0,1.0,36.0,4173.8449491,3,2677
264.0,74,264_74,104.0,1.0,30.0,3822.3801065,3,2677
267.0,74,267_74,20.0,1.0,13.0,2863.0136986,3,2677
270.0,74,270_74,1551.0,1.0,45.0,3416.7346107,3,2677
273.0,74,273_74,342.0,1.0,49.0,4428.7790698,3,2677
274.0,74,274_74,37.0,1.0,46.0,3200.8733624,3,2677
277.0,74,277_74,72.0,0.0,49.0,2587.5613748,3,2677
278.0,74,278_74,800.0,1.0,28.0,3549.9898188,3,2677
280.0,74,280_74,217.0,1.0,41.0,3499.3252361,3,2677
281.0,74,281_74,347.0,0.0,10.0,3692.9617383,3,2677
288.0,74,288_74,509.0,0.0,17.0,2609.5512989,3,2677
289.0,74,289_74,230.0,1.0,31.0,4887.5,3,2677
290.0,74,290_74,110.0,1.0,22.0,4855.6149733,3,2677
291.0,74,291_74,91.0,1.0,37.0,2763.2311978,3,2677
305.0,74,305_74,149.0,1.0,15.0,3197.4077767,3,2677
306.0,74,306_74,192.0,1.0,26.0,4101.7471737,3,2677
317.0,74,317_74,45.0,0.0,41.0,3912.1338912,3,2677
324.0,74,324_74,113.0,1.0,26.0,3856.6878981,3,2677
329.0,74,329_74,142.0,1.0,21.0,3844.4444444,3,2677
332.0,74,332_74,90.0,1.0,32.0,3764.9122807,3,2677
337.0,74,337_74,141.0,1.0,25.0,3303.9117352,3,2677
345.0,74,345_74,689.0,1.0,29.0,3326.7909716,3,2677
349.0,74,349_74,54.0,1.0,16.0,3918.1818182,3,2677
359.0,74,359_74,241.0,1.0,19.0,2951.0377861,3,2677
361.0,74,361_74,822.0,1.0,25.0,3225.0562641,3,2677
365.0,74,365_74,289.0,1.0,33.0,2971.2015889,3,2677
367.0,74,367_74,300.0,1.0,45.0,4405.4054054,3,2677
370.0,74,370_74,281.0,0.0,25.0,4284.6803377,3,2677
371.0,74,371_74,261.0,1.0,36.0,2890.0646679,3,2677
372.0,74,372_74,113.0,1.0,49.0,3625.0,3,2677
373.0,74,373_74,7.0,1.0,16.0,3297.2972973,3,2677
375.0,74,375_74,810.0,1.0,33.0,3898.9082969,3,2677
377.0,74,377_74,1023.0,1.0,30.0,4328.4139101,3,2677
378.0,74,378_74,885.0,0.0,37.0,3291.2335752,3,2677
380.0,74,380_74,218.0,0.0,12.0,3378.3031989,3,2677
383.0,74,383_74,962.0,1.0,33.0,4103.725347,3,2677
386.0,74,386_74,249.0,0.0,23.0,4663.476874,3,2677
390.0,74,390_74,188.0,1.0,20.0,3813.510942,3,2677
394.0,74,394_74,131.0,1.0,32.0,3656.9620253,3,2677
410.0,74,410_74,118.0,1.0,21.0,3980.3921568,3,2677
414.0,74,414_74,214.0,1.0,19.0,3293.7576499,3,2677
418.0,74,418_74,388.0,1.0,14.0,3878.4965035,3,2677
424.0,74,424_74,93.0,1.0,20.0,3080.5270864,3,2677
428.0,74,428_74,163.0,0.0,42.0,3388.0597015,3,2677
434.0,74,434_74,174.0,0.0,18.0,3127.1626298,3,2677
437.0,74,437_74,436.0,1.0,46.0,3662.097073,3,2677
439.0,74,439_74,336.0,1.0,11.0,3187.6155268,3,2677
442.0,74,442_74,163.0,0.0,12.0,3488.5764499,3,2677
444.0,74,444_74,252.0,1.0,23.0,3753.2467533,3,2677
451.0,74,451_74,197.0,1.0,14.0,3765.070922,3,2677
452.0,74,452_74,395.0,1.0,30.0,6966.162707,3,2677
455.0,74,455_74,328.0,0.0,24.0,4051.8309859,3,2677
460.0,74,460_74,542.0,0.0,32.0,3062.3475197,3,2677
462.0,74,462_74,762.0,0.0,45.0,3624.2905789,3,2677
468.0,74,468_74,147.0,0.0,26.0,2947.0852018,3,2677
478.0,74,478_74,704.0,0.0,27.0,2892.2255589,3,2677
479.0,74,479_74,362.0,0.0,33.0,3932.4650265,3,2677
481.0,74,481_74,168.0,0.0,35.0,3639.4891945,3,2677
482.0,74,482_74,307.0,1.0,26.0,4318.5654008,3,2677
484.0,74,484_74,85.0,1.0,47.0,3960.9053498,3,2677
487.0,74,487_74,101.0,1.0,26.0,3566.1764706,3,2677
488.0,74,488_74,496.0,0.0,16.0,3743.6246175,3,2677
498.0,74,498_74,224.0,1.0,21.0,4311.634349,3,2677
499.0,74,499_74,59.0,1.0,40.0,2997.3958333,3,2677
500.0,74,500_74,454.0,1.0,21.0,4716.2872154,3,2677
509.0,74,509_74,337.0,0.0,40.0,3056.5723794,3,2677
514.0,74,514_74,92.0,0.0,17.0,5488.997555,3,2677
515.0,74,515_74,128.0,0.0,44.0,2501.5739769,3,2677
516.0,74,516_74,200.0,1.0,30.0,2768.9768977,3,2677
524.0,74,524_74,939.0,0.0,28.0,4058.0046403,3,2677
531.0,74,531_74,440.0,0.0,19.0,4141.0256411,3,2677
534.0,74,534_74,173.0,0.0,41.0,3843.6018957,3,2677
535.0,74,535_74,160.0,1.0,33.0,3860.6173994,3,2677
537.0,74,537_74,101.0,0.0,44.0,4026.3157894,3,2677
538.0,74,538_74,178.0,0.0,45.0,2540.1188707,3,2677
541.0,74,541_74,277.0,0.0,20.0,3265.8079625,3,2677
544.0,74,544_74,388.0,1.0,30.0,3516.8387966,3,2677
546.0,74,546_74,156.0,1.0,36.0,4250.2951594,3,2677
547.0,74,547_74,550.0,1.0,13.0,4057.4302401,3,2677
550.0,74,550_74,1007.0,0.0,13.0,3397.8121202,3,2677
551.0,74,551_74,151.0,0.0,12.0,2300.0,3,2677
554.0,74,554_74,274.0,1.0,15.0,2932.1336761,3,2677
558.0,74,558_74,392.0,0.0,37.0,3850.0742207,3,2677
559.0,74,559_74,807.0,0.0,38.0,3600.2688775,3,2677
563.0,74,563_74,118.0,0.0,21.0,2515.7780196,3,2677
565.0,74,565_74,956.0,1.0,34.0,4078.6372007,3,2677
567.0,74,567_74,344.0,1.0,45.0,3684.5360825,3,2677
571.0,74,571_74,210.0,0.0,11.0,2475.2714114,3,2677
572.0,74,572_74,179.0,1.0,10.0,3862.6560727,3,2677
577.0,74,577_74,208.0,0.0,31.0,3000.0,3,2677
578.0,74,578_74,246.0,0.0,11.0,3255.7989691,3,2677
582.0,74,582_74,484.0,1.0,26.0,2785.1307189,3,2677
583.0,74,583_74,552.0,1.0,44.0,3734.6730245,3,2677
594.0,74,594_74,122.0,1.0,11.0,3276.1394102,3,2677
598.0,74,598_74,506.0,0.0,43.0,3405.7315234,3,2677
600.0,74,600_74,36.0,1.0,46.0,3000.0,3,2677
603.0,74,603_74,203.0,1.0,15.0,4199.4017946,3,2677
605.0,74,605_74,380.0,1.0,44.0,3571.2406839,3,2677
606.0,74,606_74,742.0,1.0,32.0,2873.5652798,3,2677
607.0,74,607_74,814.0,1.0,33.0,4329.1032149,3,2677
609.0,74,609_74,942.0,1.0,42.0,4335.1382711,3,2677
615.0,74,615_74,199.0,0.0,11.0,5054.0265036,3,2677
620.0,74,620_74,157.0,1.0,25.0,4124.137931,3,2677
624.0,74,624_74,388.0,0.0,22.0,3292.5110132,3,2677
635.0,74,635_74,814.0,0.0,29.0,3736.5380648,3,2677
636.0,74,636_74,558.0,0.0,26.0,2638.7896617,3,2677
640.0,74,640_74,335.0,0.0,48.0,3163.202123,3,2677
646.0,74,646_74,200.0,1.0,12.0,3094.9554896,3,2677
660.0,74,660_74,35.0,0.0,26.0,3633.7448559,3,2677
667.0,74,667_74,3087.0,0.0,20.0,4192.2423213,3,2677
685.0,74,685_74,187.0,1.0,16.0,2672.9927007,3,2677
686.0,74,686_74,317.0,1.0,11.0,5533.5389361,3,2677
692.0,74,692_74,188.0,0.0,25.0,3037.2057707,3,2677
695.0,74,695_74,186.0,0.0,28.0,3046.7445743,3,2677
699.0,74,699_74,259.0,0.0,42.0,3962.2507122,3,2677
701.0,74,701_74,73.0,0.0,32.0,2885.8800774,3,2677
704.0,74,704_74,289.0,0.0,39.0,3535.0318471,3,2677
710.0,74,710_74,721.0,0.0,24.0,4483.1368248,3,2677
713.0,74,713_74,130.0,0.0,26.0,4095.323741,3,2677
720.0,74,720_74,100.0,0.0,28.0,2812.5,3,2677
731.0,74,731_74,188.0,0.0,27.0,3055.0595238,3,2677
735.0,74,735_74,62.0,0.0,21.0,3395.6043956,3,2677
740.0,74,740_74,301.0,1.0,18.0,4225.1109702,3,2677
745.0,74,745_74,34.0,1.0,34.0,3339.6226415,3,2677
748.0,74,748_74,275.0,0.0,47.0,3870.3465982,3,2677
751.0,74,751_74,261.0,0.0,43.0,3002.1367521,3,2677
752.0,74,752_74,838.0,1.0,44.0,4090.0712191,3,2677
756.0,74,756_74,1329.0,1.0,25.0,4420.9260373,3,2677
763.0,74,763_74,96.0,1.0,25.0,4617.357002,3,2677
764.0,74,764_74,424.0,1.0,43.0,3369.9346405,3,2677
767.0,74,767_74,17.0,1.0,16.0,5243.902439,3,2677
770.0,74,770_74,1902.0,0.0,10.0,4056.3340544,3,2677
774.0,74,774_74,705.0,0.0,46.0,3449.1266375,3,2677
775.0,74,775_74,85.0,0.0,30.0,3507.5376884,3,2677
776.0,74,776_74,71.0,1.0,10.0,6033.6700336,3,2677
778.0,74,778_74,155.0,0.0,21.0,2471.8875502,3,2677
783.0,74,783_74,138.0,0.0,37.0,4012.755102,3,2677
784.0,74,784_74,235.0,0.0,48.0,4849.8609824,3,2677
788.0,74,788_74,202.0,1.0,36.0,3663.0602782,3,2677
790.0,74,790_74,291.0,0.0,36.0,2777.0408163,3,2677
793.0,74,793_74,411.0,1.0,34.0,3048.5942381,3,2677
794.0,74,794_74,321.0,1.0,19.0,2837.8707842,3,2677
797.0,74,797_74,128.0,1.0,34.0,2370.4883227,3,2677
798.0,74,798_74,311.0,1.0,42.0,3848.4513274,3,2677
804.0,74,804_74,273.0,0.0,30.0,3762.8247834,3,2677
810.0,74,810_74,165.0,1.0,22.0,2866.2207358,3,2677
817.0,74,817_74,87.0,0.0,22.0,4211.7117117,3,2677
824.0,74,824_74,201.0,1.0,12.0,3115.5015197,3,2677
829.0,74,829_74,389.0,1.0,26.0,3469.4339623,3,2677
832.0,74,832_74,690.0,1.0,12.0,3837.1343579,3,2677
838.0,74,838_74,101.0,0.0,48.0,3224.7706422,3,2677
840.0,74,840_74,1113.0,0.0,41.0,3548.690205,3,2677
843.0,74,843_74,300.0,1.0,49.0,4884.097035,3,2677
845.0,74,845_74,291.0,0.0,32.0,3812.4658283,3,2677
846.0,74,846_74,39.0,1.0,37.0,3328.7037037,3,2677
851.0,74,851_74,311.0,1.0,37.0,2687.9310345,3,2677
852.0,74,852_74,309.0,0.0,18.0,2819.0909091,3,2677
856.0,74,856_74,289.0,1.0,25.0,3255.6270097,3,2677
857.0,74,857_74,465.0,1.0,24.0,3021.2905339,3,2677
858.0,74,858_74,78.0,1.0,48.0,5662.5,3,2677
863.0,74,863_74,600.0,0.0,41.0,3122.3915592,3,2677
866.0,74,866_74,166.0,1.0,23.0,3851.1576626,3,2677
871.0,74,871_74,330.0,1.0,44.0,2487.452148,3,2677
874.0,74,874_74,75.0,0.0,31.0,3134.8747592,3,2677
896.0,74,896_74,164.0,0.0,47.0,2590.4617714,3,2677
904.0,74,904_74,41.0,1.0,32.0,4492.6108374,3,2677
905.0,74,905_74,278.0,1.0,35.0,2733.8896615,3,2677
907.0,74,907_74,537.0,1.0,16.0,2452.9501526,3,2677
909.0,74,909_74,355.0,0.0,24.0,3578.6163522,3,2677
912.0,74,912_74,219.0,1.0,18.0,1820.5953339,3,2677
919.0,74,919_74,203.0,0.0,44.0,3820.6660974,3,2677
920.0,74,920_74,9.0,0.0,36.0,6461.5384615,3,2677
923.0,74,923_74,239.0,0.0,46.0,4033.0188679,3,2677
928.0,74,928_74,64.0,0.0,26.0,4064.8967552,3,2677
939.0,74,939_74,225.0,1.0,13.0,5501.1135858,3,2677
940.0,74,940_74,48.0,0.0,29.0,2985.0746269,3,2677
943.0,74,943_74,34.0,1.0,30.0,2332.046332,3,2677
945.0,74,945_74,56.0,1.0,29.0,4204.8192771,3,2677
950.0,74,950_74,168.0,1.0,40.0,3560.4060914,3,2677
956.0,74,956_74,185.0,1.0,41.0,2755.1159618,3,2677
957.0,74,957_74,300.0,1.0,16.0,2867.6767677,3,2677
964.0,74,964_74,1138.0,0.0,43.0,3909.3387867,3,2677
967.0,74,967_74,303.0,0.0,23.0,3886.3134658,3,2677
968.0,74,968_74,57.0,1.0,25.0,3221.3541667,3,2677
975.0,74,975_74,382.0,0.0,28.0,3252.2900763,3,2677
977.0,74,977_74,268.0,0.0,18.0,4090.9677419,3,2677
983.0,74,983_74,932.0,1.0,25.0,3557.9353933,3,2677
986.0,74,986_74,56.0,1.0,47.0,2661.637931,3,2677
987.0,74,987_74,81.0,1.0,17.0,6430.9210525,3,2677
990.0,74,990_74,166.0,1.0,16.0,3731.0679612,3,2677
992.0,74,992_74,395.0,0.0,23.0,4318.5185185,3,2677
997.0,74,997_74,72.0,1.0,45.0,2589.6487985,3,2677
998.0,74,998_74,359.0,0.0,13.0,3540.6218656,3,2677
1005.0,74,1005_74,130.0,1.0,14.0,2696.8190855,3,2677
1006.0,74,1006_74,14.0,0.0,43.0,4704.2253521,3,2677
1007.0,74,1007_74,228.0,1.0,30.0,4452.4271844,3,2677
1011.0,74,1011_74,83.0,1.0,42.0,2791.6666667,3,2677
1012.0,74,1012_74,201.0,0.0,10.0,2986.1111111,3,2677
1016.0,74,1016_74,361.0,0.0,49.0,3806.6600398,3,2677
1019.0,74,1019_74,408.0,0.0,48.0,3869.9616123,3,2677
1024.0,74,1024_74,225.0,0.0,25.0,3963.0746044,3,2677
1029.0,74,1029_74,301.0,1.0,29.0,3164.1943734,3,2677
1035.0,74,1035_74,28.0,0.0,40.0,6467.2131148,3,2677
1039.0,74,1039_74,268.0,1.0,29.0,3767.8471051,3,2677
1041.0,74,1041_74,235.0,0.0,29.0,2665.3846154,3,2677
1047.0,74,1047_74,438.0,0.0,29.0,3659.1853699,3,2677
1053.0,74,1053_74,436.0,1.0,32.0,3891.7127072,3,2677
1056.0,74,1056_74,873.0,1.0,16.0,4278.8575962,3,2677
1057.0,74,1057_74,505.0,1.0,34.0,3206.1376317,3,2677
1058.0,74,1058_74,131.0,0.0,28.0,2357.3433115,3,2677
1063.0,74,1063_74,702.0,0.0,24.0,3025.5488266,3,2677
1068.0,74,1068_74,50.0,0.0,14.0,4248.3870968,3,2677
1069.0,74,1069_74,129.0,0.0,44.0,4419.6141479,3,2677
1073.0,74,1073_74,34.0,0.0,47.0,3085.106383,3,2677
1074.0,74,1074_74,75.0,1.0,37.0,3501.8726592,3,2677
1079.0,74,1079_74,301.0,0.0,29.0,3331.9006686,3,2677
1091.0,74,1091_74,155.0,0.0,38.0,3153.2175689,3,2677
1093.0,74,1093_74,198.0,1.0,23.0,3382.1949348,3,2677
1097.0,74,1097_74,81.0,0.0,14.0,2920.2898551,3,2677
1098.0,74,1098_74,1323.0,1.0,35.0,4065.863812,3,2677
1102.0,74,1102_74,216.0,1.0,29.0,3993.3277732,3,2677
1103.0,74,1103_74,178.0,1.0,35.0,5326.2879788,3,2677
1109.0,74,1109_74,404.0,1.0,34.0,3329.7297297,3,2677
