user_id,character_id,user_character_id,num_tries,boost_used,attack_duration,score
1,74,1_74,304,0,34,3743.6997319
1,65,1_65,255,1,10,4009.0215128
1,39,1_39,203,0,41,5094.6215139
1,106,1_106,158,0,26,4619.2129629
1,2,1_2,157,0,41,2871.627907
1,46,1_46,154,1,14,3533.3333333
1,51,1_51,128,1,11,3635.7786358
1,17,1_17,118,1,47,3732.9192547
1,69,1_69,116,1,29,3477.3413897
2,74,2_74,657,1,17,3061.0596341
2,8,2_8,493,0,44,2712.1680049
2,11,2_11,487,0,39,2664.801343
2,52,2_52,386,0,28,3007.8311202
2,73,2_73,241,0,44,2615.625
2,70,2_70,218,0,37,3032.2156476
2,39,2_39,205,0,15,3035.9897172
2,18,2_18,195,1,41,2974.1824441
2,76,2_76,172,0,40,2617.2624237
5,74,5_74,276,1,23,3899.4082841
5,46,5_46,251,1,45,3785.1307189
5,1,5_1,240,1,38,5032.2147651
5,93,5_93,237,1,16,4661.1740474
5,8,5_8,224,1,34,3817.8010471
5,17,5_17,212,1,12,3698.9335521
5,11,5_11,196,0,44,2917.8321678
5,109,5_109,176,1,36,4221.5657312
5,10,5_10,167,0,26,5712.3287672
6,74,6_74,295,1,47,3802.3019635
6,53,6_53,293,0,43,3383.678441
6,13,6_13,247,0,39,4087.7893057
6,9,6_9,204,1,31,4139.9217221
6,19,6_19,202,0,13,3730.8377897
6,17,6_17,197,1,16,4405.6308655
6,80,6_80,186,0,29,4320.3883494
6,51,6_51,185,1,18,3828.202582
6,25,6_25,185,1,44,3276.9652651
7,62,7_62,1512,1,28,3181.3036334
7,91,7_91,1107,1,19,2126.5707105
7,22,7_22,1058,0,44,3716.1174686
7,67,7_67,474,1,41,4159.4259116
7,17,7_17,424,1,42,2431.8757922
7,106,7_106,381,1,18,3247.0167064
7,27,7_27,300,1,38,2164.7940075
7,75,7_75,296,1,38,2660.496614
7,54,7_54,293,1,26,3215.9090909
8,74,8_74,780,0,19,3830.3215208
8,17,8_17,380,0,32,3680.9789609
8,65,8_65,374,1,45,3908.4041548
8,34,8_34,293,0,21,3580.4597701
8,11,8_11,255,0,26,3149.4708995
8,13,8_13,244,0,34,3585.2112676
8,52,8_52,242,1,10,4264.604811
8,76,8_76,235,1,17,3721.3675213
8,46,8_46,207,1,16,3847.1953579
11,86,11_86,324,0,42,2411.8835893
11,33,11_33,304,1,49,2944.8698315
11,9,11_9,279,1,12,2776.9436997
11,16,11_16,242,0,21,2777.9710145
11,21,11_21,232,1,13,2724.3589744
11,107,11_107,215,1,26,2524.3902439
11,14,11_14,211,1,31,2391.3288288
