num_tries,boost_used,attack_duration,score,character_type,hitpoints
150.0,1.0,12.0,4522.2222222,2,2109
251.0,1.0,26.0,3462.7994956,3,1415
283.0,1.0,47.0,1879.2908336,2,2622
51.0,0.0,29.0,3644.7368421,2,1475
114.0,1.0,19.0,3596.2732919,2,713
147.0,1.0,10.0,3469.5752009,2,2622
409.0,1.0,42.0,4253.3156499,1,2298
135.0,0.0,21.0,5171.641791,2,1297
527.0,0.0,29.0,3368.9437256,3,628
382.0,1.0,35.0,4457.925636,2,713
88.0,0.0,29.0,4055.5555556,1,1339
120.0,1.0,47.0,5023.6686391,3,2677
880.0,1.0,12.0,3484.594317,1,1339
557.0,1.0,23.0,3240.7456025,3,1415
190.0,1.0,17.0,4381.5925543,0,2230
194.0,0.0,42.0,2641.5362731,3,2677
208.0,0.0,35.0,3059.2447917,2,713
112.0,0.0,44.0,2717.1215881,2,2622
192.0,0.0,29.0,3306.1403509,3,2677
243.0,1.0,40.0,4165.3726708,3,2677
92.0,0.0,15.0,4241.7840376,0,2289
378.0,0.0,18.0,3490.8579465,0,1084
277.0,1.0,45.0,4162.4834875,0,2557
203.0,0.0,48.0,3129.8882682,0,2557
114.0,1.0,14.0,2706.3339731,1,2091
171.0,0.0,40.0,2118.1102362,1,1202
141.0,0.0,32.0,2864.0,1,1992
13.0,0.0,39.0,2720.7207207,1,1278
95.0,0.0,32.0,2507.1707953,2,2622
23.0,0.0,19.0,2801.0752688,1,788
205.0,0.0,23.0,3157.2847682,2,2109
138.0,1.0,48.0,2384.4714687,2,1902
62.0,0.0,22.0,3290.0943396,2,713
247.0,0.0,22.0,3498.5119047,0,2612
187.0,0.0,20.0,2873.2171157,0,2230
87.0,0.0,46.0,4708.2152974,1,1260
143.0,0.0,48.0,3202.2940563,1,1339
289.0,0.0,39.0,3535.0318471,3,2677
92.0,1.0,46.0,5359.8971722,0,2539
177.0,1.0,34.0,4084.7290641,3,643
452.0,1.0,44.0,3757.2391908,0,2557
331.0,1.0,25.0,4520.9409065,2,713
16.0,0.0,27.0,3080.8823529,0,2185
94.0,0.0,25.0,2835.6973995,0,2185
209.0,1.0,40.0,3534.6432264,0,2258
624.0,1.0,38.0,3413.2100396,0,2557
369.0,0.0,12.0,3309.5472441,0,2406
147.0,1.0,12.0,2874.4142455,1,1786
128.0,0.0,38.0,3184.1046278,1,2298
155.0,0.0,32.0,4676.9230769,3,2121
61.0,1.0,21.0,2791.4893617,1,1786
65.0,0.0,17.0,3159.9045346,2,2848
284.0,1.0,33.0,3171.0056151,0,2557
81.0,1.0,48.0,4586.9074492,2,1297
127.0,0.0,43.0,2771.849126,0,2826
784.0,1.0,45.0,2294.3488278,3,1415
170.0,1.0,48.0,3371.4285714,0,2557
64.0,1.0,39.0,3026.5251989,1,1260
165.0,0.0,12.0,2443.841983,0,2557
219.0,1.0,37.0,1966.2387066,1,1992
49.0,0.0,25.0,3888.8888889,2,2591
252.0,1.0,35.0,3413.9650873,1,1633
46.0,0.0,17.0,4892.7038627,2,1428
45.0,1.0,41.0,2940.9937888,0,930
46.0,0.0,48.0,3575.4716981,3,628
61.0,1.0,24.0,3267.1957672,1,2298
307.0,1.0,10.0,3848.3870968,3,2677
56.0,0.0,30.0,2715.9863946,3,1415
126.0,1.0,40.0,3319.5876289,3,2677
111.0,0.0,12.0,3949.1193738,2,2109
1170.0,0.0,36.0,2655.8214035,3,1248
304.0,1.0,45.0,2716.1997564,2,1173
66.0,1.0,33.0,2900.5102041,1,1899
